PMID	assigned?	rule_based	Correct Results	Haley		Peng Yu	Karthik	Chenwei	Xiaohuan	Yi Weng
23653359		Yes	N	N	Exosome uptake depends on ERK1/2-heat shock protein 27 signaling and lipid Raft-mediated endocytosis negatively regulated by caveolin-1.		N		N	
23658368		No	Y	Y	Synergistic induction of adaptive antitumor immunity by codelivery of antigen with α-galactosylceramide on exosomes.		Y		Y	
23658846		Yes	Y	Y	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.		Y		Y	
23663360		NA	N	N	Characterization of human plasma-derived exosomal RNAs by deep sequencing.		N		N	
23690609		NA	N	N	Ultrastructural analysis of hepatitis C virus particles.		N		N	
23707941		NA	Y	Y	Tumor cell-derived exosome-targeted dendritic cells stimulate stronger CD8+ CTL responses and antitumor immunities.		Y		Y	
23716181		Yes	Y	Y	Exosomes with membrane-associated TGF-β1 from gene-modified dendritic cells inhibit murine EAE independently of MHC restriction.		Y		Y	
23719939		NA	N	N	Isolation of extracellular nanovesicle microRNA from liver cancer cells in culture.		N		N	
23719940		NA	N	N	Methods of analysis of dendritic cell-derived exosome-shuttle microRNA and its horizontal propagation between dendritic cells.		N		N	
23719941		Yes	N	N	Analysis of microRNA and protein transfer by exosomes during an immune synapse.		N		N	
23719942		NA	N	N	Analysis of viral microRNA exchange via exosomes in vitro and in vivo.		N		N	
23719945		NA	N	N	Isolation of circulating microRNA associated with RNA-binding protein.		N		N	
23719946		NA	N	N	Identification and analysis of circulating exosomal microRNA in human body fluids.		N		N	
23719947		NA	N	N	Analyzing the circulating microRNAs in exosomes/extracellular vesicles from serum or plasma by qRT-PCR.		N		N	
23719952		NA	N	N	Purification of RNA from milk whey.		N		N	
23727037		Yes	Y	Y	Antigen-specific, antibody-coated, exosome-like nanovesicles deliver suppressor T-cell microRNA-150 to effector T cells to inhibit contact sensitivity.		Y		Y	
23749427		NA	Y	Y	CD73 expression on extracellular vesicles derived from CD4+ CD25+ Foxp3+ T cells contributes to their regulatory function.		Y		Y	
23758897		NA	N	N	Exosomes secreted by human cells transport largely mRNA fragments that are enriched in the 3'-untranslated regions.		Y		N	
23767874		NA	N	N	Biochemical and biological characterization of exosomes containing prominin-1/CD133.		N		N	
23770773		NA	N	N	Real-time quantitative PCR and droplet digital PCR for plant miRNAs in mammalian blood provide little evidence for general uptake of dietary miRNAs: limited evidence for general uptake of dietary plant xenomiRs.		N		N	
23785420		Yes	Y	Y	CD9-positive microvesicles mediate the transfer of molecules to Bovine Spermatozoa during epididymal maturation.		N		N	
23805153		NA	N	N	Extracellular circulating viral microRNAs: current knowledge and perspectives.		N		N	
23818581		NA	N	N	Human placental trophoblasts confer viral resistance to recipient cells.		N		N	
23828504		NA	N	N	Choroid plexus transcytosis and exosome shuttling deliver folate into brain parenchyma.		N		N	
23832071		Yes	Y	Y	Exosomes mediate the cell-to-cell transmission of IFN-α-induced antiviral activity.		Y		Y	
23836758		NA	N	N	Proteomic identification of galectin-3 binding ligands and characterization of galectin-3 proteolytic cleavage in human prostasomes.		N		N	
23861904		Yes	Y	Y	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.		Y		Y	
23864627		Yes	Y	Y	Exosomes derived from Epstein-Barr virus-infected cells are internalized via caveola-dependent endocytosis and promote phenotypic modulation in target cells.		Y		Y	
23874151		Yes	Y	Y	Neurotransmitter-triggered transfer of exosomes mediates oligodendrocyte-neuron communication.		N		Y	
23874201		NA	N	N	Systemically circulating viral and tumor-derived microRNAs in KSHV-associated malignancies.		N		N	
23876314		Yes	Y	Y	Natural CD8⁺25⁺ regulatory T cell-secreted exosomes capable of suppressing cytotoxic T lymphocyte-mediated immunity against B16 melanoma.		Y		Y	
23878230		Yes	Y	Y	Exosome-mediated transmission of hepatitis C virus between human hepatoma Huh7.5 cells.		Y		Y	
23880365		Yes	Y	Y	Tetraspanin-3 regulates protective immunity against Eimeria tenella infection following immunization with dendritic cell-derived exosomes.		Y		N	
23881522		NA	N	N*	Exosomal pMHC-I complex targets T cell-based vaccine to directly stimulate CTL responses leading to antitumor immunity in transgenic FVBneuN and HLA-A2/HER2 mice and eradicating trastuzumab-resistant tumor in athymic nude mice.		Y		Y	
23897660		NA	N	N	Transplantation of human umbilical mesenchymal stem cells cures the corneal defects of mucopolysaccharidosis VII mice.		N		N	
23908664		NA	Y*	Y*	The origin, function, and diagnostic potential of RNA within extracellular vesicles present in human biological fluids.		Y		Y	
23916849		NA	N	N	Blastocoel-spanning filopodia in cleavage-stage Xenopus laevis: Potential roles in morphogen distribution and detection.		N		N	
23920474		NA	N	N	The spectrum of olive pollen allergens. From structures to diagnosis and treatment.		N		N	
23936141		NA	N	N	Regulation of the tumor suppressor PTEN through exosomes: a diagnostic potential for prostate cancer.		N		Y	
23940647		NA	N	N	C-src enriched serum microvesicles are generated in malignant plasma cell dyscrasia.		N		N	
23946286		No	N	N	MicroRNA-29c in urinary exosome/microvesicle as a biomarker of renal fibrosis.		N		N	
23963371		Yes	Y	Y	Systemic administration of exosomes released from mesenchymal stromal cells promote functional recovery and neurovascular plasticity after stroke in rats.		Y		Y	
23986519		Yes	N	N	Excretion of urinary exosomal AQP2 in rats is regulated by vasopressin and urinary pH.		N		N	
23990473		Yes	Y	Y	Membrane vesicles nucleate mineralo-organic nanoparticles and induce carbonate apatite precipitation in human body fluids.		Y		Y	
23993901		Yes	N	N	Intercellular transfer of tissue factor via the uptake of tumor-derived microvesicles.		N		N	
23994137		NA	N	N	Using information theory to assess the communicative capacity of circulating microRNA.		N		N	
24009880		Yes	N	N	Characterization of mRNA and microRNA in human mast cell-derived exosomes and their transfer to other mast cells and blood CD34 progenitor cells.		N		N	
24009882		NA	N	N	Liver extracellular vesicles in health and disease.		N		N	
24009886		NA	N	N	Cellular stress conditions are reflected in the protein and RNA content of endothelial cell-derived exosomes.		N		N	
24009898		Yes	N	N	Growth factor stimulation of cardiomyocytes induces changes in the transcriptional contents of secreted exosomes.		N		N	
24039861		NA	N	N	Transmembrane prostatic acid phosphatase (TMPAP) interacts with snapin and deficient mice develop prostate adenocarcinoma.		N		N	
24040308		NA	Y	Y	Tumor and endothelial cell-derived microvesicles carry distinct CEACAMs and influence T-cell behavior.		Y		Y	
24044575		Yes	Y	Y	Exosome derived from epigallocatechin gallate treated breast cancer cells suppresses tumor growth by inhibiting tumor-associated macrophage infiltration and M2 polarization.		Y		Y	
24058411		NA	N	N	Osteoprotegerin in exosome-like vesicles from human cultured tubular cells and urine.		Y		N	
24066071		NA	N	N	MicroRNA and protein profiling of brain metastasis competent cell-derived exosomes.		N		N	
24067531		Yes	Y	Y	Tumor-derived exosomes are enriched in ΔNp73, which promotes oncogenic potential in acceptor cells and correlates with patient survival.		Y		Y	
24069378		NA	N	N	Proteome profiling of neuroblastoma-derived exosomes reveal the expression of proteins potentially involved in tumor progression.		N		N	
24079734		NA	Y	Y	Immunostimulatory activity of murine keratinocyte-derived exosomes.		Y		Y	
24084846		No	Y	Y	Delivery of Functional Anti-miR-9 by Mesenchymal Stem Cell-derived Exosomes to Glioblastoma Multiforme Cells Conferred Chemosensitivity.		N		Y	
24086438		NA	N	N	Mapping the small RNA content of simian immunodeficiency virions (SIV).		N		N	
24091630		Yes	N*	N*	Large oncosomes mediate intercellular transfer of functional microRNA.		N		N	
24095986		NA	Y	Y	CD4+CD25+ regulatory T cells-derived exosomes prolonged kidney allograft survival in a rat model.		Y		Y	
24101524		NA	Y	Y	Cancer cell exosomes depend on cell-surface heparan sulfate proteoglycans for their internalization and functional activity.		Y		N	
24102152		NA	N	N	Detection of extracellular RNAs in cancer and viral infection via tethered cationic lipoplex nanoparticles containing molecular beacons.		N		N	
24106176		NA	Y	Y	Exosome encased spherical nucleic acid gold nanoparticle conjugates as potent microRNA regulation agents.		Y		Y	
24115447		NA	N	N	Comparative proteomics evaluation of plasma exosome isolation techniques and assessment of the stability of exosomes in normal human blood plasma.		N		N	
24122827		No	N	N	Epigenetic regulation of connective tissue growth factor by MicroRNA-214 delivery in exosomes from mouse or human hepatic stellate cells.		N		Y	
24123326		Yes	Y	Y	Heat shock improves Sca-1+ stem cell survival and directs ischemic cardiomyocytes toward a prosurvival phenotype via exosomal transfer: a critical role for HSF1/miR-34a/HSP70 pathway.		N		Y	
24133215		Yes	Y	Y	Exosomes derived from hypoxic leukemia cells enhance tube formation in endothelial cells.		Y		Y	
24140643		NA	N	N	Adrenergic regulation of IgE involves modulation of CD23 and ADAM10 expression on exosomes.		N		N	
24144866		No	N	N	CD2AP mRNA in urinary exosome as biomarker of kidney disease.		N		N	
24146068		Yes	Y	Y	Exosomes derived from Rab27a‑overexpressing tumor cells elicit efficient induction of antitumor immunity.		Y		Y	
24146982		NA	N	N	Cell Infectivity in relation to bovine leukemia virus gp51 and p24 in bovine milk exosomes.		N		N	
24167654		Yes	Y	Y	Extracellular Vesicle-Mediated Transfer of a Novel Long Noncoding RNA TUC339: A Mechanism of Intercellular Signaling in Human Hepatocellular Cancer.		N		Y	
24170696		Yes	Y	Y	Exosomes released by islet-derived mesenchymal stem cells trigger autoimmune responses in NOD mice.		Y		Y	
24183884		NA	N	N	Comparison of serum exosome isolation methods for microRNA profiling.		N		N	
24185202		Yes	Y	Y	Induction and transport of Wnt 5a during macrophage-induced malignant invasion is mediated by two types of extracellular vesicles.		Y			
24196440		Yes	Y	Y	Myotube-derived exosomal miRNAs downregulate Sirtuin1 in myoblasts during muscle cell differentiation.		Y		Y	
24196483		NA	N	N	Subfractionation, characterization, and in-depth proteomic analysis of glomerular membrane vesicles in human urine.		N		N	
24205035		NA	N	N	Profiling circulating microRNA expression in experimental sepsis using cecal ligation and puncture.		N		N	
24211404		Yes	N	N	Diabetic nephropathy induces changes in the proteome of human urinary exosomes as revealed by label-free comparative analysis.		N		N	
24211598		No	N	N	Prostate cancer biomarker profiles in urinary sediments and exosomes.		N		N	
24223256		NA	N	N	Distinct RNA profiles in subpopulations of extracellular vesicles: apoptotic bodies, microvesicles and exosomes.		N		N	
24223258		No	N	N*	Tumour-derived exosomes as antigen delivery carriers in dendritic cell-based immunotherapy for malignant mesothelioma.		N		Y	
24223816		NA	Y	Y	Exosomal and Non-Exosomal Transport of Extra-Cellular microRNAs in Follicular Fluid: Implications for Bovine Oocyte Developmental Competence.		N		Y	
24225954		Yes	Y	Y	Body fluid exosomes promote secretion of inflammatory cytokines in monocytic cells via Toll-like receptor signaling.		Y		Y	
24227773		Yes	N	N	MicroRNAs transfer from human macrophages to hepato-carcinoma cells and inhibit proliferation.		N		Y	
24231730		NA	N	N	Autophagy as a mechanism of antiviral defense at the maternal-fetal interface.		N		N	
24244532		Yes	N	N	Hypoxia-induced changes in the bioactivity of cytotrophoblast-derived exosomes.		N		N	
24244642		NA	N	N	Expression and secretion of plasma membrane Ca2+-ATPase 4a (PMCA4a) during murine estrus: association with oviductal exosomes and uptake in sperm.		N		N	
24245560		No	N	N	Exosomes are natural carriers of exogenous siRNA to human cells in vitro.		N		N	
24250247		No	N	N	Isolation and quantification of microRNAs from urinary exosomes/microvesicles for biomarker discovery.		N		N	
24255815		NA	N	N	Characterization of RNA in exosomes secreted by human breast cancer cell lines using next-generation sequencing.		N		N	
24335232		Yes	Y	Y	Exosomes from red blood cell units bind to monocytes and induce proinflammatory cytokines, boosting T-cell responses in vitro.		Y		Y	
24335901		NA	Y	Y	Reduced MiR-675 in exosome in H19 RNA-related melanogenesis via MITF as a direct target.		Y?		Y	
24336651		Yes	N	N	miR-23a is decreased during muscle atrophy by a mechanism that includes calcineurin signaling and exosome-mediated export.		N?		N	
24337504		Yes	Y	Y	Extracellular vesicles derived from human bone marrow mesenchymal stem cells promote angiogenesis in a rat myocardial infarction model.		Y		Y	
24345736		No	N	N	A doxorubicin delivery platform using engineered natural membrane vesicle exosomes for targeted tumor therapy.		N		N	
24347249		Yes	Y	Y	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.		Y		Y	
24352158		NA	N	N	Characterization and deep sequencing analysis of exosomal and non-exosomal miRNA in human urine.		N		N	
24352500		NA	N	N	DSPP contains an IRES element responsible for the translation of dentin phosphophoryn.		N		N	
24356509		NA	N	N	Sumoylated hnRNPA2B1 controls the sorting of miRNAs into exosomes through binding to specific motifs.		N		N	
24359956		Yes	N	N	Measurement of intercellular transfer to signaling endosomes.		N		N	
24360116		NA	N	N	Improved circulating microparticle analysis in acid-citrate dextrose (ACD) anticoagulant tube.		N		N	
24363837		NA	N	N	Toxoplasma gondii infection of fibroblasts causes the production of exosome-like vesicles containing a unique array of mRNA and miRNA transcripts compared to serum starvation.		N		N	
24371517		NA	Y	Y	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.		N		Y	
24375787		NA	N	N	Glioma-associated stem cells: a novel class of tumor-supporting cells able to predict prognosis of human low-grade gliomas.		N		N	
24391718		No	N	N	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.		N		N	
24391924		NA	Y	Y	Exosomes derived from mesenchymal stem cells suppress angiogenesis by down-regulating VEGF expression in breast cancer cells.		Y		Y	
24392111		NA	N*	N*	Proteomic analysis of C2C12 myoblast and myotube exosome-like vesicles: a new paradigm for myoblast-myotube cross talk?		N		N	
24393345		NA	N	N	Ovarian cancer cell invasiveness is associated with discordant exosomal sequestration of Let-7 miRNA and miR-200.		Y		Y	
24399649		Yes	Y	Y	Staphylococcal entorotoxin B anchored exosome induces apoptosis in negative esterogen receptor breast cancer cells.		Y		Y	
24412205		Yes	Y	Y	Intercellular transfer of GPRC5B via exosomes drives HGF-mediated outward growth.		Y		Y	
24413309		Yes	Y	Y	Exosomes from breast milk inhibit HIV-1 infection of dendritic cells and subsequent viral transfer to CD4+ T cells.		Y		Y	
24423651		Yes	N	N	Enhanced shedding of extracellular vesicles from amoeboid prostate cancer cells: potential effects on the tumor microenvironment.		Y		Y	
24424840		NA	N	N	Functional prostate-specific membrane antigen is enriched in exosomes from prostate cancer cells.		N		Y	
24428462		NA	Y	Y	Differences in exosome populations in human breast milk in relation to allergic sensitization and lifestyle.		N		Y	
24434149		NA	N	N	In-depth proteomic analyses of ovarian cancer cell line exosomes reveals differential enrichment of functional categories compared to the NCI 60 proteome.		N		Y	
24435880		NA	N	N	A small noncoding RNA signature found in exosomes of GBM patient serum as a diagnostic tool.		N		N	
24436255		Yes	N	N	Transfer and functional consequences of dietary microRNAs in vertebrates: concepts in search of corroboration: negative results challenge the hypothesis that dietary xenomiRs cross the gut and regulate genes in ingesting vertebrates, but important questions persist.		N		N	
24440457		Yes	Y	Y	Cardioprotection by remote ischemic preconditioning of the rat heart is mediated by extracellular vesicles.		N		Y	
24441045		NA	Y	Y	Differentiation of tumour-promoting stromal myofibroblasts by cancer exosomes.		Y		Y	
24452836		NA	N	N	Posttransplantation bone marrow assessment by quantifying hematopoietic cell-derived mRNAs in plasma exosomes/microvesicles.		N		N	
24455109		NA	N	N	Cryo-electron microscopy of extracellular vesicles in fresh plasma.		N		N	
24463816		No	N	N	Modulation of hypoxia-signaling pathways by extracellular linc-RoR.		N		N	
24464300		NA	N	N	Connective tissue growth factor (CCN2) and microRNA-21 are components of a positive feedback loop in pancreatic stellate cells (PSC) during chronic pancreatitis and are exported in PSC-derived exosomes.		Y		N	
24466366		NA	Y	Y	Ionizing radiation and glioblastoma exosomes: implications in tumor biology and cell migration.		N		Y	
24466501		No	N	N	Exosomes in Plasma of Patients with Ovarian Carcinoma: Potential Biomarkers of Tumor Progression and Response to Therapy.		N		N	
24468161		NA	N	N	Molecular characterization of exosome-like vesicles from breast cancer cells.		N		N	
24468420		Yes	Y	Y	Tumor exosomes induce tunneling nanotubes in lipid raft-enriched regions of human mesothelioma cells.		Y		Y	
24473213		NA	N	N	miRNA in plasma exosome is stable under different storage conditions.		N		N	
24473397		No	N	N	Deregulated microRNAs in gastric cancer tissue-derived mesenchymal stem cells: novel biomarkers and a mechanism for gastric cancer.		N		N	
24493004		No	N	N	Microfluidic fabrication of cell-derived nanovesicles as endogenous RNA carriers.		N		N	
24498934		No	N	N	Extracellular vesicle markers in relation to obesity and metabolic complications in patients with manifest cardiovascular disease.		N		N	
24499489		NA	N	N	Exploration of microRNAs in porcine milk exosomes.		N		N	
24502353		Yes	Y	Y	Exosomes are involved in mediating radiation induced bystander signaling in human keratinocyte cells.		Y		Y	
24504253		Yes	Y	Y	Dll4-containing exosomes induce capillary sprout retraction in a 3D microenvironment.		Y		Y	
24513287		Yes	Y	Y	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.		Y		N	
24525123		Yes	Y	Y	Exosome-formed synthetic microRNA-143 is transferred to osteosarcoma cells and inhibits their migration.		Y		Y	
24530986		NA	Y	Y	Bladder cancer exosomes contain EDIL-3/Del1 and facilitate cancer progression.		Y		Y	
24533152		Yes	Y	Y	Embryonic cerebrospinal fluid nanovesicles carry evolutionarily conserved molecules and promote neural stem cell amplification.		Y		Y	
24558481		NA	N	N	RRP6 from Trypanosoma brucei: crystal structure of the catalytic domain, association with EAP3 and activity towards structured and non-structured RNA substrates.		N		N	
24564699		NA	N	N	Cellular phenotype and extracellular vesicles: basic and clinical considerations.		N		N	
24564711		NA	N	N	The proteomics of prostate cancer exosomes.		N		N	
24575409		NA	N	N	Characterization of uptake and internalization of exosomes by bladder cancer cells.		N		N	
24593875		Yes	Y	Y	miRNA cargo within exosome-like vesicle transfer influences metastatic bone colonization.		Y		Y	
24614226		NA	N	N	Extracellular vesicles in luminal fluid of the ovine uterus.		N		N	
24620748		NA	N	N	Early diagnostic value of survivin and its alternative splice variants in breast cancer.		N		N	
24645843		Yes	Y	Y	Renal tumor-derived exosomes inhibit hepaCAM expression of renal carcinoma cells in a p-AKT-dependent manner.		Y		Y	
24650793		NA	N	N	Exosome reduction in vivo is associated with lower amyloid plaque load in the 5XFAD mouse model of Alzheimer's disease.		Y		N	
24662828		NA	Y	Y	Exosomal HIF1α supports invasive potential of nasopharyngeal carcinoma-associated LMP1-positive exosomes.		Y		Y	
24668525		NA	N	N	Human pegivirus RNA is found in multiple blood mononuclear cells in vivo and serum-derived viral RNA-containing particles are infectious in vitro.		N		N	
24678386		NA	N	N	The influence of rotor type and centrifugation time on the yield and purity of extracellular vesicles.		N		N	
24685946		Yes	N	N	Exosome-mediated delivery of functionally active miRNA-155 inhibitor to macrophages.		Y		Y	
24697699		Yes	Y	Y	Chicken biliary exosomes enhance CD4(+)T proliferation and inhibit ALV-J replication in liver.		Y		Y	
24700864		NA	Y	Y	Human urinary exosomes as innate immune effectors.		Y		Y	
24722878		NA	N	N	Microfluidic device (ExoChip) for on-chip isolation, quantification and characterization of circulating exosomes.		N		N	
24725987		Yes	Y	Y	Platelet-derived growth factor regulates the secretion of extracellular vesicles by adipose mesenchymal stem cells and enhances their angiogenic potential.		Y		N	
24733759		NA	N	N	The overexpression of a single oncogene (ERBB2/HER2) alters the proteomic landscape of extracellular vesicles.		N		N	
24735771		NA	N	N	A novel "salting-out" procedure for the isolation of tumor-derived exosomes.		N		N	
24735924		Yes	N	N	Cancer-secreted miR-105 destroys vascular endothelial barriers to promote metastasis.		N		N	
24740415		Yes	Y	Y	Exosomes from drug-resistant breast cancer cells transmit chemoresistance by a horizontal transfer of microRNAs.		Y		Y	
24749746		NA	N	N	Human CD4+ CD39+ regulatory T cells produce adenosine upon co-expression of surface CD73 or contact with CD73+ exosomes or CD73+ cells.		Y		N	
24764226		NA	N	N	Different exosome cargo from plasma/bronchoalveolar lavage in non-small-cell lung cancer.		N		N	
24765093		NA	N	N	Human B Cell-Derived Lymphoblastoid Cell Lines Constitutively Produce Fas Ligand and Secrete MHCII(+)FasL(+) Killer Exosomes.		N		N	
24765179		Yes	Y	Y	786-0 Renal cancer cell line-derived exosomes promote 786-0 cell migration and invasion in vitro.		Y		Y	
24766647		Yes	Y	Y	WNT5A induces release of exosomes containing pro-angiogenic and immunosuppressive factors from malignant melanoma cells.		N		N	
24769233		NA	N	N	Proteomic analysis of cerebrospinal fluid extracellular vesicles: a comprehensive dataset.		N		Y	
24773308		NA	Y	Y	Improvement of cloned embryos development by co-culturing with parthenotes: a possible role of exosomes/microvesicles for embryos paracrine communication.		N		Y	
24780320		NA	Y	Y	Curcumin-primed exosomes mitigate endothelial cell dysfunction during hyperhomocysteinemia.		Y		Y	
24782865		No	N	N	Plasma exosomes as markers of therapeutic response in patients with acute myeloid leukemia.		N		N	
24786747		No	N	N	Human embryos secrete microRNAs into culture media--a potential biomarker for implantation.		N		N	
24792183		NA	N	N	Adiponectin is partially associated with exosomes in mouse serum.		N		N	
24792623		NA	Y	Y	Functional significance of macrophage-derived exosomes in inflammation and pain.		Y		Y	
24798654		Yes	Y	Y	Low-dose cytokine-induced neutral ceramidase secretion from INS-1 cells via exosomes and its anti-apoptotic effect.		Y		Y	
24812088		NA	Y*	Y*	Syncytin proteins incorporated in placenta exosomes are important for cell uptake and show variation in abundance in serum exosomes from patients with preeclampsia.		Y		Y	
24813441		Yes	N	N	Insulin-like growth factor-1 prevents miR-122 production in neighbouring cells to curtail its intercellular transfer to ensure proliferation of human hepatoma cells.		N		N	
24825548		Yes	Y	Y	Cardiomyocytes mediate anti-angiogenesis in type 2 diabetic rats through the exosomal transfer of miR-320 into endothelial cells.		Y		Y	
24829410		Yes	Y	Y	Exosomes derived from Burkitt's lymphoma cell lines induce proliferation, differentiation, and class-switch recombination in B cells.		Y		Y	
24831807		Yes	Y	Y	Interactions between exosomes from breast cancer cells and primary mammary epithelial cells leads to generation of reactive oxygen species which induce DNA damage response, stabilization of p53 and autophagy in epithelial cells.		Y		Y	
24838567		NA	Y	Y	Exosomes in human semen carry a distinctive repertoire of small non-coding RNAs with potential regulatory functions.		Y		Y	
24842810		NA	Y	Y	Interspecies communication between plant and mouse gut host cells through edible plant derived exosome-like nanoparticles.		Y		Y	
24853207		NA	N	N	The J6JFH1 strain of hepatitis C virus infects human B-cells with low replication efficacy.		N		N	
24859414		NA	N	N	Bioinformatic analysis revealing association of exosomal mRNAs and proteins in epigenetic inheritance.		N		N	
24860738		Yes	N	N	Exosomal Proteome Profiling: A Potential Multi-Marker Cellular Phenotyping Tool to Characterize Hypoxia-Induced Radiation Resistance in Breast Cancer.		N		N	
24871856		NA	N	N	miR-182 attenuates atrophy-related gene expression by targeting FoxO3 in skeletal muscle.		N		N	
24878024		NA	N	N	Study of circulating microRNA-125b levels in serum exosomes in advanced melanoma.		N		N	
24882759		Yes	N	N	Exosomes mediate intercellular transfer of pro-fibrogenic connective tissue growth factor (CCN2) between hepatic stellate cells, the principal fibrotic cells in the liver.		Y		Y	
24884710		NA	Y*	Y*	Regulation of ACVR1 and ID2 by cell-secreted exosomes during follicle maturation in the mare.		Y		Y	
24887393		NA	Y	Y	CD47-dependent immunomodulatory and angiogenic activities of extracellular vesicles produced by T cells.		Y		Y	
24888238		NA	N	N	Programmed cell death 4 and microRNA 21 inverse expression is maintained in cells and exosomes from ovarian serous carcinoma effusions.		Y		N	
24888668		NA	N	N	Label-free quantitative proteomic analysis of human plasma-derived microvesicles to find protein signatures of abdominal aortic aneurysms.		N		N	
24896633		NA	N	N	Epstein-Barr virus-encoded small RNAs (EBERs) are present in fractions related to exosomes released by EBV-transformed cells.		N		N	
24905832		NA	Y	Y	A gestational profile of placental exosomes in maternal plasma and their effects on endothelial cell migration.		Y		Y	
24909737		NA	N	N	Intercellular communication by extracellular vesicles and their microRNAs in asthma.		N		Y	
24911657		NA	N	N	Human prominin-1 (CD133) is detected in both neoplastic and non-neoplastic salivary gland diseases and released into saliva in a ubiquitinated form.		N		N	
24912785		Yes	Y	Y	Exosomal miR-21 derived from arsenite-transformed human bronchial epithelial cells promotes cell proliferation associated with arsenite carcinogenesis.		Y		Y	
24914390		NA	N	N	Novel method for extracting exosomes of hepatocellular carcinoma cells.		N		N	
24914955		NA	N	N	SNX31: a novel sorting nexin associated with the uroplakin-degrading multivesicular bodies in terminally differentiated urothelial cells.		N		N	
24917028		No	N	N	Naturally enveloped AAV vectors for shielding neutralizing antibodies and robust gene delivery in vivo.		N		N	
24918061		Yes	Y	Y	Extracellular vesicle-mediated transfer of long non-coding RNA ROR modulates chemosensitivity in human hepatocellular cancer.		Y		Y	
24918752		No	N	N	A comparison of the ability of levels of urinary biomarker proteins and exosomal mRNA to predict outcomes after renal transplantation.		N		N	
24922576		Yes	N	N	Cell-to-cell transfer of M. tuberculosis antigens optimizes CD4 T cell priming.		N		N	
24925027		NA	Y	Y	Exosome-derived miRNAs and ovarian carcinoma progression.		Y		Y	
24926435		NA	N	N	Analysis of extracellular RNA by digital PCR.		N		N	
24932692		Yes	N	N	Regulation of HIV-Gag expression and targeting to the endolysosomal/secretory pathway by the luminal domain of lysosomal-associated membrane protein (LAMP-1) enhance Gag-specific immune response.		N		N	
24936449		Yes	Y	Y	Exosomes as critical agents of cardiac regeneration triggered by cell therapy.		Y		Y	
24951588		Yes	Y	Y	Exosome uptake through clathrin-mediated endocytosis and macropinocytosis and mediating miR-21 delivery.		Y		N	
24952243		NA	N	N	Isolation of biologically-active exosomes from human plasma.		N		N	
24952935		NA	N	N	Expression of B-cell surface antigens in subpopulations of exosomes released from B-cell lymphoma cells.		N		N	
24956264		NA	N	N	Reproducibility and efficiency of serum-derived exosome extraction methods.		N		N	
24965404		NA	Y	Y	Exosome/staphylococcal enterotoxin B, an anti tumor compound against pancreatic cancer.		N		Y	
24969560		NA	Y	Y	Exosomes from docetaxel-resistant breast cancer cells alter chemosensitivity by delivering microRNAs.		Y		Y	
24970738		No	Y	Y	Hepatitis E virus egress depends on the exosomal pathway, with secretory exosomes derived from multivesicular bodies.		Y		N	
24976626		Yes	N	N	Exosomal transfer from human renal proximal tubule cells to distal tubule and collecting duct cells.		N		Y	
24978137		Yes	Y	Y	Tumor-derived exosomes promote tumor progression and T-cell dysfunction through the regulation of enriched exosomal microRNAs in human nasopharyngeal carcinoma.		Y		Y	
24982349		NA	N	N	Isolation of prostate cancer-related exosomes.		N		N	
24985346		Yes	Y	Y	Exosomes from bone marrow mesenchymal stem cells contain a microRNA that promotes dormancy in metastatic breast cancer cells.		Y		Y	
24992257		NA	N	N	Soma-to-germline transmission of RNA in mice xenografted with human tumour cells: possible transport by exosomes.		N		N	
24997849		NA	N	N	Plasma exosomal α-synuclein is likely CNS-derived and increased in Parkinson's disease.		N		N	
25015105		NA	Y	Y	Exosomal shuttling of miR-126 in endothelial cells modulates adhesive and migratory abilities of chronic myelogenous leukemia cells.		Y			
25015352		NA	N	N	Evidence for the Involvement of MMP14 in MMP2 Processing and Recruitment in Exosomes of Corneal Fibroblasts.		N		N	
25016614		Yes	Y	Y	Extracellular vesicles from human cardiac progenitor cells inhibit cardiomyocyte apoptosis and improve cardiac function after myocardial infarction.		Y		Y	
25018864		Yes	Y	Y	Cavin-1/PTRF alters prostate cancer cell-derived extracellular vesicle content and internalization to attenuate extracellular vesicle-mediated osteoclastogenesis and osteoblast proliferation.		Y		Y	
25034888		Yes	Y	Y	Macrophage immunomodulation by breast cancer-derived exosomes requires Toll-like receptor 2-mediated activation of NF-κB.		N		Y	
25035954		NA	Y	Y	MicroRNA-containing T-regulatory-cell-derived exosomes suppress pathogenic T helper 1 cells.		Y		Y	
25036385		Yes	N	N	Mesenchymal stem cells deliver exogenous miRNAs to neural cells and induce their differentiation and glutamate transporter expression.		Y		N	
25037226		NA	N	N	Decreased amyloid-β pathologies by intracerebral loading of glycosphingolipid-enriched exosomes in Alzheimer model mice.		N		N	
25037567		Yes	N	N	Sortilin mediates the release and transfer of exosomes in concert with two tyrosine kinase receptors.		N		N	
